Antibodies,Virus,Study,IC50 (ug/mL)
10-1074 + 10E8,0013095_2_11,Kong2015_dataset2,0.013
10-1074 + 10E8 + 3BNC117,0013095_2_11,Kong2015_dataset2,0.008
10-1074 + 10E8 + 3BNC117 + PG9,0013095_2_11,Kong2015_dataset2,0.006
10-1074 + 10E8 + PG9,0013095_2_11,Kong2015_dataset2,0.005
10-1074 + 3BNC117,0013095_2_11,Kong2015_dataset2,0.484
10-1074 + 3BNC117 + PG9,0013095_2_11,Kong2015_dataset2,0.016
10-1074 + PG9,0013095_2_11,Kong2015_dataset2,0.017
10E8 + 2F5,0013095_2_11,Doria-Rose2017,0.056
10E8 + 3BNC117,0013095_2_11,Kong2015_dataset2,0.002
10E8 + 3BNC117 + PG9,0013095_2_11,Kong2015_dataset2,0.003
10E8 + IgG_mutant_1,0013095_2_11,Irimia2017,0.238
10E8 + IgG_mutant_2,0013095_2_11,Irimia2017,2.08
10E8 + IgG_mutant_3,0013095_2_11,Irimia2017,>50
10E8 + IgG_mutant_5,0013095_2_11,Irimia2017,15.7
10E8 + PG9,0013095_2_11,Kong2015_dataset2,0.002
10E8 + PG9,0013095_2_11,Kong2015_dataset1,0.008
10E8 + PG9 + PGT128,0013095_2_11,Kong2015_dataset1,0.008
10E8 + PG9 + PGT128 + VRC07,0013095_2_11,Kong2015_dataset1,0.005
10E8 + PG9 + VRC07,0013095_2_11,Kong2015_dataset1,0.006
10E8 + PGT128,0013095_2_11,Kong2015_dataset1,0.016
10E8 + PGT128 + VRC07,0013095_2_11,Kong2015_dataset1,0.013
10E8 + VRC07,0013095_2_11,Kong2015_dataset1,0.006
10E8 + b12,0013095_2_11,Doria-Rose2017,0.076
10E8v4-5R-100cF + N6,0013095_2_11,Kwon2018,0.002
2F5 + 8ANC195,0013095_2_11,Doria-Rose2017,0.616
35O22 + PGT128,0013095_2_11,Doria-Rose2017,>50
35O22 + PGT151,0013095_2_11,Doria-Rose2017,>50
3BNC117 + PG9,0013095_2_11,Kong2015_dataset2,0.027
8ANC195 + b12,0013095_2_11,Doria-Rose2017,0.796
BG1 + BG18 + NC37,0013095_2_11,Freund2017,31.333
HJ16 + PGT128,0013095_2_11,Doria-Rose2017,>50
HJ16 + VRC01,0013095_2_11,Doria-Rose2017,0.339
PG9 + PGT128,0013095_2_11,Kong2015_dataset1,0.021
PG9 + PGT128 + VRC07,0013095_2_11,Kong2015_dataset1,0.014
PG9 + PGT151,0013095_2_11,Doria-Rose2017,0.033
PG9 + VRC01,0013095_2_11,Doria-Rose2017,0.055
PG9 + VRC07,0013095_2_11,Kong2015_dataset1,0.01
PGDM1400 + PGT121,0013095_2_11,Sok2014,0.003
PGT128 + VRC07,0013095_2_11,Kong2015_dataset1,0.031
10-1074 + 10E8,001428_2_42,Kong2015_dataset2,0.104
10-1074 + 10E8 + 3BNC117,001428_2_42,Kong2015_dataset2,0.008
10-1074 + 10E8 + 3BNC117 + PG9,001428_2_42,Kong2015_dataset2,0.001
10-1074 + 10E8 + PG9,001428_2_42,Kong2015_dataset2,0.002
10-1074 + 3BNC117,001428_2_42,Kong2015_dataset2,0.009
10-1074 + 3BNC117 + PG9,001428_2_42,Kong2015_dataset2,0.002
10-1074 + PG9,001428_2_42,Kong2015_dataset2,0.002
10E8 + 2F5,001428_2_42,Doria-Rose2017,2.4
10E8 + 3BNC117,001428_2_42,Kong2015_dataset2,0.008
10E8 + 3BNC117 + PG9,001428_2_42,Kong2015_dataset2,0.001
10E8 + IgG_mutant_1,001428_2_42,Irimia2017,0.261
10E8 + IgG_mutant_2,001428_2_42,Irimia2017,7.46
10E8 + IgG_mutant_3,001428_2_42,Irimia2017,>50
10E8 + IgG_mutant_5,001428_2_42,Irimia2017,>50
10E8 + PG9,001428_2_42,Kong2015_dataset1,0.003
10E8 + PG9,001428_2_42,Kong2015_dataset2,0.003
10E8 + PG9 + PGT128,001428_2_42,Kong2015_dataset1,0.004
10E8 + PG9 + PGT128 + VRC07,001428_2_42,Kong2015_dataset1,0.002
10E8 + PG9 + VRC07,001428_2_42,Kong2015_dataset1,0.003
10E8 + PGT128,001428_2_42,Kong2015_dataset1,0.047
10E8 + PGT128 + VRC07,001428_2_42,Kong2015_dataset1,0.008
10E8 + VRC07,001428_2_42,Kong2015_dataset1,0.006
10E8 + b12,001428_2_42,Doria-Rose2017,3.61
10E8v4-5R-100cF + N6,001428_2_42,Kwon2018,0.01
2F5 + 8ANC195,001428_2_42,Doria-Rose2017,>50
35O22 + PGT128,001428_2_42,Doria-Rose2017,0.042
35O22 + PGT151,001428_2_42,Doria-Rose2017,0.036
3BNC117 + PG9,001428_2_42,Kong2015_dataset2,0.001
8ANC195 + b12,001428_2_42,Doria-Rose2017,>50
BG1 + BG18 + NC37,001428_2_42,Freund2017,0.029
HJ16 + PGT128,001428_2_42,Doria-Rose2017,0.076
HJ16 + VRC01,001428_2_42,Doria-Rose2017,0.054
PG9 + PGT128,001428_2_42,Kong2015_dataset1,0.002
PG9 + PGT128 + VRC07,001428_2_42,Kong2015_dataset1,0.002
PG9 + PGT151,001428_2_42,Doria-Rose2017,0.012
PG9 + VRC01,001428_2_42,Doria-Rose2017,0.01
PG9 + VRC07,001428_2_42,Kong2015_dataset1,0.002
PGDM1400 + PGT121,001428_2_42,Sok2014,0.002
PGT128 + VRC07,001428_2_42,Kong2015_dataset1,0.006
PGDM1400 + PGT121,0041_V3_C18,Wagh2016,<0.001
PGT121 + PGT145,0041_V3_C18,Wagh2016,0.002
10E8v4-5R-100cF + N6,0077_V1_C16,Kwon2018,0.023
PGDM1400 + PGT121,0077_V1_C16,Wagh2016,0.015
PGT121 + PGT145,0077_V1_C16,Wagh2016,0.15
10E8v4-5R-100cF + N6,00836_2_5,Kwon2018,0.01
CH01 + VRC-CH31,00836_2_5,Qin2015,>25
10-1074 + 10E8,0260_V5_C36,Kong2015_dataset2,0.272
10-1074 + 10E8 + 3BNC117,0260_V5_C36,Kong2015_dataset2,0.097
10-1074 + 10E8 + 3BNC117 + PG9,0260_V5_C36,Kong2015_dataset2,0.083
10-1074 + 10E8 + PG9,0260_V5_C36,Kong2015_dataset2,0.186
10-1074 + 3BNC117,0260_V5_C36,Kong2015_dataset2,0.091
10-1074 + 3BNC117 + PG9,0260_V5_C36,Kong2015_dataset2,0.081
10-1074 + PG9,0260_V5_C36,Kong2015_dataset2,0.097
10E8 + 3BNC117,0260_V5_C36,Kong2015_dataset2,0.139
10E8 + 3BNC117 + PG9,0260_V5_C36,Kong2015_dataset2,0.135
10E8 + IgG_mutant_1,0260_V5_C36,Irimia2017,6.73
10E8 + IgG_mutant_2,0260_V5_C36,Irimia2017,>50
10E8 + IgG_mutant_3,0260_V5_C36,Irimia2017,>50
10E8 + IgG_mutant_5,0260_V5_C36,Irimia2017,>50
10E8 + PG9,0260_V5_C36,Kong2015_dataset1,0.518
10E8 + PG9,0260_V5_C36,Kong2015_dataset2,0.632
10E8 + PG9 + PGT128,0260_V5_C36,Kong2015_dataset1,0.027
10E8 + PG9 + PGT128 + VRC07,0260_V5_C36,Kong2015_dataset1,0.028
10E8 + PG9 + VRC07,0260_V5_C36,Kong2015_dataset1,0.135
10E8 + PGT128,0260_V5_C36,Kong2015_dataset1,0.027
10E8 + PGT128 + VRC07,0260_V5_C36,Kong2015_dataset1,0.02
10E8 + VRC01,0260_V5_C36,Xu2017,0.662
10E8 + VRC07,0260_V5_C36,Kong2015_dataset1,0.173
10E8v4-5R-100cF + N6,0260_V5_C36,Kwon2018,0.101
3BNC117 + PG9,0260_V5_C36,Kong2015_dataset2,0.16
BG1 + BG18 + NC37,0260_V5_C36,Freund2017,0.018
PG9 + PGT128,0260_V5_C36,Kong2015_dataset1,0.026
PG9 + PGT128 + VRC07,0260_V5_C36,Kong2015_dataset1,0.028
PG9 + VRC07,0260_V5_C36,Kong2015_dataset1,0.141
PGDM1400 + PGT121,0260_V5_C36,Sok2014,0.008
PGT121 + VRC01,0260_V5_C36,Xu2017,0.275
PGT128 + VRC01,0260_V5_C36,Xu2017,0.197
PGT128 + VRC07,0260_V5_C36,Kong2015_dataset1,0.016
10-1074 + 10E8,0330_V4_C3,Kong2015_dataset2,0.042
10-1074 + 10E8 + 3BNC117,0330_V4_C3,Kong2015_dataset2,0.013
10-1074 + 10E8 + 3BNC117 + PG9,0330_V4_C3,Kong2015_dataset2,0.005
10-1074 + 10E8 + PG9,0330_V4_C3,Kong2015_dataset2,0.007
10-1074 + 3BNC117,0330_V4_C3,Kong2015_dataset2,0.013
10-1074 + 3BNC117 + PG9,0330_V4_C3,Kong2015_dataset2,0.005
10-1074 + PG9,0330_V4_C3,Kong2015_dataset2,0.003
10E8 + 3BNC117,0330_V4_C3,Kong2015_dataset2,0.027
10E8 + 3BNC117 + PG9,0330_V4_C3,Kong2015_dataset2,0.009
10E8 + PG9,0330_V4_C3,Kong2015_dataset1,0.005
10E8 + PG9,0330_V4_C3,Kong2015_dataset2,0.012
10E8 + PG9 + PGT128,0330_V4_C3,Kong2015_dataset1,0.005
10E8 + PG9 + PGT128 + VRC07,0330_V4_C3,Kong2015_dataset1,0.004
10E8 + PG9 + VRC07,0330_V4_C3,Kong2015_dataset1,0.005
10E8 + PGT128,0330_V4_C3,Kong2015_dataset1,0.312
10E8 + PGT128 + VRC07,0330_V4_C3,Kong2015_dataset1,0.021
10E8 + VRC07,0330_V4_C3,Kong2015_dataset1,0.023
10E8v4-5R-100cF + N6,0330_V4_C3,Kwon2018,0.021
3BNC117 + PG9,0330_V4_C3,Kong2015_dataset2,0.012
PG9 + PGT128,0330_V4_C3,Kong2015_dataset1,0.006
PG9 + PGT128 + VRC07,0330_V4_C3,Kong2015_dataset1,0.005
PG9 + VRC07,0330_V4_C3,Kong2015_dataset1,0.004
PGDM1400 + PGT121,0330_V4_C3,Sok2014,0.002
PGT128 + VRC07,0330_V4_C3,Kong2015_dataset1,0.03
10E8v4-5R-100cF + N6,0439_V5_C1,Kwon2018,0.031
10-1074 + 10E8,0815_V3_C3,Kong2015_dataset2,0.039
10-1074 + 10E8 + 3BNC117,0815_V3_C3,Kong2015_dataset2,0.007
10-1074 + 10E8 + 3BNC117 + PG9,0815_V3_C3,Kong2015_dataset2,0.008
10-1074 + 10E8 + PG9,0815_V3_C3,Kong2015_dataset2,0.029
10-1074 + 3BNC117,0815_V3_C3,Kong2015_dataset2,0.006
10-1074 + 3BNC117 + PG9,0815_V3_C3,Kong2015_dataset2,0.008
10-1074 + PG9,0815_V3_C3,Kong2015_dataset2,0.019
10E8 + 3BNC117,0815_V3_C3,Kong2015_dataset2,0.01
10E8 + 3BNC117 + PG9,0815_V3_C3,Kong2015_dataset2,0.015
10E8 + IgG_mutant_1,0815_V3_C3,Irimia2017,0.001
10E8 + IgG_mutant_2,0815_V3_C3,Irimia2017,2.16
10E8 + IgG_mutant_3,0815_V3_C3,Irimia2017,>50
10E8 + IgG_mutant_5,0815_V3_C3,Irimia2017,>50
10E8 + PG9,0815_V3_C3,Kong2015_dataset1,0.121
10E8 + PG9,0815_V3_C3,Kong2015_dataset2,0.318
10E8 + PG9 + PGT128,0815_V3_C3,Kong2015_dataset1,0.007
10E8 + PG9 + PGT128 + VRC07,0815_V3_C3,Kong2015_dataset1,0.005
10E8 + PG9 + VRC07,0815_V3_C3,Kong2015_dataset1,0.007
10E8 + PGT128,0815_V3_C3,Kong2015_dataset1,0.004
10E8 + PGT128 + VRC07,0815_V3_C3,Kong2015_dataset1,0.003
10E8 + VRC07,0815_V3_C3,Kong2015_dataset1,0.004
10E8v4-5R-100cF + N6,0815_V3_C3,Kwon2018,0.014
3BNC117 + PG9,0815_V3_C3,Kong2015_dataset2,0.02
BG1 + BG18 + NC37,0815_V3_C3,Freund2017,0.071
