"Antibody","Virus","Study","IC50 (ug/mL)"
"10E8/N6","0013095_2_11","Khan2018_dataset1","0.0155"
"10E8/PGDM1400/PRO-140","0013095_2_11","Khan2018_dataset1","0.002"
"10E8/PGT121/PGDM1400.V1","0013095_2_11","Khan2018_dataset2","0.028"
"10E8/PGT121/PGDM1400.V2","0013095_2_11","Khan2018_dataset2","0.099"
"10E8/PGT121/PGDM1400.V3","0013095_2_11","Khan2018_dataset2","0.013"
"10E8/PGT121/PGDM1400.V4","0013095_2_11","Khan2018_dataset2","0.063"
"10E8/PGT121/PGDM1400.V5","0013095_2_11","Khan2018_dataset2","0.012"
"10E8/PGT121/PGDM1400.V6","0013095_2_11","Khan2018_dataset2","0.043"
"10E8/PGT121/PGDM1400.V7","0013095_2_11","Khan2018_dataset2","0.071"
"10E8/PGT121/PGDM1400.V8","0013095_2_11","Khan2018_dataset1","0.0001"
"10E8/PGT121/PGDM1400.V8","0013095_2_11","Khan2018_dataset2","0.019"
"10E8V1.1/P140","0013095_2_11","Huang2016","<0.0001"
"10E8V2.0/iMab","0013095_2_11","Huang2016","<0.0001"
"3BNC117/10-1074","0013095_2_11","Bournazos2016_dataset1","4.045"
"3BNC117/10-1074-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.705"
"3BNC117/PGT135-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.024"
"8ANC195/PGT128-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.192"
"M36/PRO-140","0013095_2_11","Khan2018_dataset1","0.0268"
"N6/10E8v4-PGDM1400","0013095_2_11","Xu2017","0.006"
"N6/PGDM1400-10E8v4","0013095_2_11","Xu2017","0.002"
"PG16/PGT121","0013095_2_11","Bournazos2016_dataset1","0.019"
"PG16/PGT128","0013095_2_11","Bournazos2016_dataset1","0.024"
"PGDM1400/PRO-140","0013095_2_11","Khan2018_dataset1","0.0006"
"PGT151/10-1074-IgG3C","0013095_2_11","Bournazos2016_dataset1","0.033"
"PGT151/35O22","0013095_2_11","Bournazos2016_dataset1","11.832"
"PRO-140/PGDM1400/PGT121","0013095_2_11","Khan2018_dataset1","0.01"
"RoAb13/PGDM1400/PGT121","0013095_2_11","Khan2018_dataset1","0.009"
"VRC01/PGDM1400-10E8v4","0013095_2_11","Xu2017","0.009"
"10E8/N6","001428_2_42","Khan2018_dataset1","0.0676"
"10E8/PGDM1400/PRO-140","001428_2_42","Khan2018_dataset1","0.014"
"10E8/PGT121/PGDM1400.V8","001428_2_42","Khan2018_dataset1","0.007"
"10E8V1.1/P140","001428_2_42","Huang2016","0.004"
"10E8V2.0/iMab","001428_2_42","Huang2016","0.004"
"3BNC117/10-1074","001428_2_42","Bournazos2016_dataset1","0.029"
"3BNC117/10-1074-IgG3C","001428_2_42","Bournazos2016_dataset1","0.02"
"3BNC117/PGT135-IgG3C","001428_2_42","Bournazos2016_dataset1","0.003"
"8ANC195/PGT128-IgG3C","001428_2_42","Bournazos2016_dataset1","0.034"
"M36/PRO-140","001428_2_42","Khan2018_dataset1","0.024"
"N6/10E8v4-PGDM1400","001428_2_42","Xu2017","0.004"
"N6/PGDM1400-10E8v4","001428_2_42","Xu2017","0.002"
"PG16/PGT121","001428_2_42","Bournazos2016_dataset1","0.001"
"PG16/PGT128","001428_2_42","Bournazos2016_dataset1","0.002"
"PGDM1400/PRO-140","001428_2_42","Khan2018_dataset1","0.0045"
"PGT151/10-1074-IgG3C","001428_2_42","Bournazos2016_dataset1","0.024"
"PGT151/35O22","001428_2_42","Bournazos2016_dataset1","0.329"
"PRO-140/PGDM1400/PGT121","001428_2_42","Khan2018_dataset1","0.006"
"RoAb13/PGDM1400/PGT121","001428_2_42","Khan2018_dataset1","0.0119"
