Serum,Virus,Study,ID50 (Neutralization Titer)
polyclonal N152,0013095_2_11,Huang2014,1930
polyclonal NIH45,0013095_2_11,Wu2010,65
polyclonal PC64-M35,0013095_2_11,Landais2017_dataset1,76
Polyclonal AIIMS_329 102-months,001428_2_42,Mishra2019_dataset1,465
Polyclonal AIIMS_329 112-months,001428_2_42,Mishra2019_dataset1,325
Polyclonal AIIMS_329 117-months,001428_2_42,Mishra2019_dataset1,242
Polyclonal AIIMS_329 124-months,001428_2_42,Mishra2019_dataset1,67
Polyclonal AIIMS_329 131-months,001428_2_42,Mishra2019_dataset1,69
Polyclonal AIIMS_329 138-months,001428_2_42,Mishra2019_dataset1,129
Polyclonal AIIMS_329 78-months,001428_2_42,Mishra2019_dataset1,659
Polyclonal AIIMS_329 82-months,001428_2_42,Mishra2019_dataset1,954
Polyclonal AIIMS_329 90-months,001428_2_42,Mishra2019_dataset1,645
Polyclonal AIIMS_330 102-months,001428_2_42,Mishra2019_dataset1,1123
Polyclonal AIIMS_330 112-months,001428_2_42,Mishra2019_dataset1,2532
Polyclonal AIIMS_330 117-months,001428_2_42,Mishra2019_dataset1,2149
Polyclonal AIIMS_330 124-months,001428_2_42,Mishra2019_dataset1,1652
Polyclonal AIIMS_330 131-months,001428_2_42,Mishra2019_dataset1,2498
Polyclonal AIIMS_330 138-months,001428_2_42,Mishra2019_dataset1,1587
Polyclonal AIIMS_330 78-months,001428_2_42,Mishra2019_dataset1,548
Polyclonal AIIMS_330 82-months,001428_2_42,Mishra2019_dataset1,612
Polyclonal AIIMS_330 90-months,001428_2_42,Mishra2019_dataset1,759
polyclonal N152,001428_2_42,Huang2014,2688
polyclonal NIH45,001428_2_42,Wu2010,26
polyclonal PC64-M35,001428_2_42,Landais2017_dataset1,<50
polyclonal N152,0077_V1_C16,Huang2014,1658
Polyclonal AIIMS_329 102-months,00836_2_5,Mishra2019_dataset1,231
Polyclonal AIIMS_329 112-months,00836_2_5,Mishra2019_dataset1,112
Polyclonal AIIMS_329 117-months,00836_2_5,Mishra2019_dataset1,72
Polyclonal AIIMS_329 124-months,00836_2_5,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,00836_2_5,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,00836_2_5,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,00836_2_5,Mishra2019_dataset1,248
Polyclonal AIIMS_329 82-months,00836_2_5,Mishra2019_dataset1,245
Polyclonal AIIMS_329 90-months,00836_2_5,Mishra2019_dataset1,261
Polyclonal AIIMS_330 102-months,00836_2_5,Mishra2019_dataset1,91
