Serum Name,NL/179/93,A/WELLINGTON/1/94,A/BRISBANE/22/94,A/JOHANNESBURG/33/94,A/SHANDONG/9/93,A/WELLINGTON/25/93,A/WELLINGTON/96/93,A/VICTORIA/9/94,A/BRISBANE/22/96,A/WUHAN/359/95,A/WELLINGTON/48/96,A/AUCKLAND/5/96,A/VICTORIA/47/97,A/CANBERRA/1/96,A/PERTH/5/97,A/PERTH/9/97,A/BANGKOK/1/97,A/CHRISTCHURCH/1/96,A/TASMANIA/1/97,A/NANCHANG/933/95,NL/301/99,A/CANBERRA/9/97,A/SYDNEY/5/97,A/PANAMA/2007/99,A/SOUTH_AUSTRALIA/84/2002,A/FUJIAN/140/2000,A/SOUTH_AUSTRALIA/53/2001,A/VICTORIA/507/98,A/SYDNEY/228/2000,A/TOWNSVILLE/2/99,A/CHRISTCHURCH/68/99,A/VICTORIA/577/99,NL/213/03,A/PHILIPPINES/427/2002_MDCK,A/WYOMING/3/2003,A/AUCKLAND/20/2003,A/FUJIAN/411/2002,A/PHILIPPINES/472/2002_EGG,A/TOWNSVILLE/36/2003,A/VICTORIA/110/2004,A/BRISBANE/342/2003,A/TOWNSVILLE/4/2002,A/NEWCALEDONIA/12/2004,A/FUKUOKA/55/2002,A/CALIFORNIA/7/2004,A/SINGAPORE/37/2004,A/VICTORIA/523/2004,A/BRISBANE/3/2005,A/NEW_YORK/55/2004,A/BRISBANE/10/2007,A/WISCONSIN/67/2005,A/VICTORIA/500/2009,A/PERTH/27/2007,A/URUGUAY/716/2007,A/VICTORIA/208/2009,A/VICTORIA/8/2010,A/PERTH/16/2009,A/VICTORIA/361/2011,A/BRISBANE/5/2002,A/WELLINGTON/1/2004,A/BEIJING/32/92,A/VICTORIA/1/93,RG145K_NL/178/95,VN015_EL134_2008,VN016_EL135_2008,VN017_EL140_2008,HN196_2009,HN201_2009,VN018_EL204_2009,HN206_2009,VN019_EL442_2010,VN020_EL443_2010,VN021_EL444_2010,VN053_2010
A/WELLINGTON/25/93,640,1280,1280,160,1280,640,80,640,160,80,160,40,80,160,160,160,40,80,<10,80,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,640,320,160,*,*,*,*,*,*,*,*,*,*,*
A/WELLINGTON/96/93,2560,2560,2560,640,640,2560,320,2560,160,80,160,20,160,160,160,320,40,80,<10,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,160,40,320,*,*,*,*,*,*,*,*,*,*,*
A/VICTORIA/9/94,2560,2560,5120,640,320,2560,320,2560,320,80,160,40,160,160,320,320,40,80,<10,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,160,80,<10,*,*,*,*,*,*,*,*,*,*,*
A/JOHANNESBURG/33/94,1280,640,1280,320,80,1280,640,1280,320,80,40,20,<10,<10,160,320,80,40,<10,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,<10,320,*,*,*,*,*,*,*,*,*,*,*
A/SHANDONG/9/93,640,640,1280,80,320,640,160,640,160,40,40,20,<10,<10,160,160,80,40,<10,80,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,320,<10,80,*,*,*,*,*,*,*,*,*,*,*
A/WELLINGTON/1/94_repeat,*,1280,2560,640,160,1280,320,1280,160,80,80,40,80,80,160,160,20,40,10,80,*,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,*,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,*,<10,<10,40,40,*,*,*,*,*,*,*,*,*,*,*,*
A/WELLINGTON/1/94,1280,1280,1280,320,80,1280,320,1280,160,80,40,40,<10,<10,80,160,40,40,10,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,<10,320,*,*,*,*,*,*,*,*,*,*,*
A/NANCHANG/933/95,<10,<10,<10,<10,<10,<10,<10,<10,640,160,640,320,640,320,320,640,320,640,80,320,<10,<10,<10,<10,<10,<10,*,<10,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,*,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*
A/TASMANIA/1/97,<10,10,20,<10,<10,10,<10,10,640,160,320,40,1280,40,2560,5120,80,320,2560,320,<10,40,10,<10,320,<10,80,80,40,20,40,<10,<10,20,20,160,40,<10,40,40,20,20,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,20,<10,<10,20,40,*,*,*,*,*,*,*,*,*,*,*
A/CANBERRA/1/96,320,320,640,80,160,320,80,320,2560,1280,320,640,640,1280,2560,5120,1280,320,2560,2560,40,80,80,10,<10,<10,<10,40,10,<10,40,20,20,10,20,80,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,80,<10,640,*,*,*,*,*,*,*,*,*,*,*
