Virus,Antigen cluster
BI/16190/68,1
BI/21793/72,2
BI/1761/76,3
BI/2271/76,4
NL/233/82,5
NL/620/89,6
NL/823/92,7
NL/179/93,8
A/WELLINGTON/1/94,8
A/BRISBANE/22/94,8
A/WELLINGTON/25/93,8
A/WELLINGTON/96/93,8
A/VICTORIA/9/94,8
A/BRISBANE/22/96,9
A/WELLINGTON/48/96,9
A/AUCKLAND/5/96,9
A/VICTORIA/47/97,9
A/CANBERRA/1/96,9
A/PERTH/5/97,9
A/PERTH/9/97,9
A/BANGKOK/1/97,9
A/CHRISTCHURCH/1/96,9
A/TASMANIA/1/97,9
NL/301/99,10
A/CANBERRA/9/97,10
A/SYDNEY/5/97,10
A/FUJIAN/140/2000,10
A/VICTORIA/507/98,10
A/SYDNEY/228/2000,10
A/TOWNSVILLE/2/99,10
A/CHRISTCHURCH/68/99,10
A/VICTORIA/577/99,10
NL/213/03,11
A/WYOMING/3/2003,11
A/AUCKLAND/20/2003,11
A/TOWNSVILLE/36/2003,11
A/VICTORIA/110/2004,11
A/BRISBANE/342/2003,11
A/TOWNSVILLE/4/2002,11
A/NEWCALEDONIA/12/2004,11
A/FUKUOKA/55/2002,11
A/CALIFORNIA/7/2004,12
A/SINGAPORE/37/2004,12
A/VICTORIA/523/2004,12
A/BRISBANE/3/2005,12
A/BRISBANE/10/2007,13
A/WISCONSIN/67/2005,13
A/VICTORIA/500/2009,13
A/PERTH/27/2007,13
A/URUGUAY/716/2007,13
A/VICTORIA/208/2009,14
A/VICTORIA/8/2010,14
A/PERTH/16/2009,14
A/VICTORIA/361/2011,14
A/BRISBANE/5/2002,10
A/WELLINGTON/1/2004,11
A/BEIJING/32/92,8
A/VICTORIA/1/93,8
VN015/EL134/2008,13
VN016/EL135/2008,13
VN017/EL140/2008,13
HN196/2009,13
HN201/2009,14
VN018/EL204/2009,14
HN206/2009,14
VN019/EL442/2010,14
VN020/EL443/2010,14
VN021/EL444/2010,14
VN053/2010,14
A/FUJIAN/411/2002,11
A/JOHANNESBURG/33/94,8
A/NANCHANG/933/95,9
A/NEW/YORK/55/2004,12
A/PANAMA/2007/99,10
A/PHILIPPINES/427/2002/MDCK,11
A/PHILIPPINES/472/2002/EGG,11
A/SHANDONG/9/93,8
A/SOUTH/AUSTRALIA/53/2001,10
A/SOUTH/AUSTRALIA/84/2002,10
A/WUHAN/359/95,9
RG145K/NL/178/95,9
