,S1,S3,S5,S6,S13,S14
A/AUCKLAND/20/2003,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/AUCKLAND/5/96,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/BANGKOK/1/97,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/BEIJING/32/92,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/BRISBANE/10/2007,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/BRISBANE/22/94,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
A/BRISBANE/22/96,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/BRISBANE/3/2005,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/BRISBANE/342/2003,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/BRISBANE/5/2002,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/CALIFORNIA/7/2004,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/CANBERRA/1/96,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/CANBERRA/9/97,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/CHRISTCHURCH/1/96,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/CHRISTCHURCH/68/99,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/FUJIAN/140/2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/FUJIAN/411/2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/FUKUOKA/55/2002,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/JOHANNESBURG/33/94,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/NANCHANG/933/95,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/NEW/YORK/55/2004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/NEWCALEDONIA/12/2004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/PANAMA/2007/99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/PERTH/16/2009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/PERTH/27/2007,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
A/PERTH/5/97,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/PERTH/9/97,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/PHILIPPINES/427/2002/MDCK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/PHILIPPINES/472/2002/EGG,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/SHANDONG/9/93,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/SINGAPORE/37/2004,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/SOUTH/AUSTRALIA/53/2001,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/SOUTH/AUSTRALIA/84/2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/SYDNEY/228/2000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/SYDNEY/5/97,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/TASMANIA/1/97,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/TOWNSVILLE/2/99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/TOWNSVILLE/36/2003,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/TOWNSVILLE/4/2002,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/URUGUAY/716/2007,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/1/93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/VICTORIA/110/2004,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
A/VICTORIA/208/2009,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/361/2011,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/47/97,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/500/2009,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/507/98,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/523/2004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/577/99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/8/2010,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/VICTORIA/9/94,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/WELLINGTON/1/2004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/WELLINGTON/1/94,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/WELLINGTON/25/93,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/WELLINGTON/48/96,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/WELLINGTON/96/93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A/WISCONSIN/67/2005,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
A/WUHAN/359/95,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
A/WYOMING/3/2003,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BI/16190/68,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
BI/1761/76,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
BI/21793/72,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
BI/2271/76,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
HN196/2009,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HN201/2009,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HN206/2009,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NL/179/93,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NL/213/03,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
