Antibodies,0013095_2_11,001428_2_42,0260_V5_C36,0330_V4_C3,0815_V3_C3,1006_11_C3_1601,1012_11_TC21_3257,1054_07_TC4_1499,1056_10_TA11_1826,1394_C9G1,16055_2_3,16845_2_22,191084_B7_19,191821_E6_1,191955_A11,211_9,231965_C1,231966_C2,235_47,242_14,246_F3_C10_2,247_23,249M_B10,25710_2_43,26191_2_48,263_8,3016_V5_C45,3103_V3_C10,3168_V4_C10,3301_V1_C24,3817_V2_C59,398_F1_F6_20,6041_V3_C23,620345_C1,62357_14_D3_4589,6240_08_TA5_4622,6244_13_B5_4567,6471_V1_C16,6480_V4_C25,6535_3,6540_V4_C1,6545_V4_C1,6811_V7_C18,6952_V1_C20,703010054_2A2,703010200_1E5,703010217_B6,704809221_1B3,7165_18,89_F1_2_25,9004SS_A3_4,928_28,A07412M1_VRC12,AC10_29,BF1266_431A,BJOX002000_03_2,BJOX009000_02_4,BJOX010000_06_2,BJOX015000_11_5,BJOX025000_01_1,BJOX028000_10_3,C1080_C3,C2101_C1,C3347_C11,C4118_9,CAAN5342,CAP210_E8,CAP45_G3,CE0393_C3,CE0682_E4,CE1086_B2,CE1172_H1,CE1176_A3,CE2010_F5,CE2060_G9,CH038_12,CH070_1,CH119_10,CNE17,CNE19,CNE20,CNE21,CNE30,CNE5,CNE52,CNE53,CNE55,CNE58,CNE8,DU156_12,DU172_17,DU422_1,KER2008_12,M02138,MS208_A1,P0402_C2_11,P1981_C5_3,PVO_4,Q23_17,Q259_17,Q461_E2,Q769_D22,Q842_D12,QH0692_42,R1166_C1,R2184_C4,R3265_C6,REJO4541_67,RHPA4259_7,SC05_8C11_2344,SC422_8,T250_4,T251_18,T255_34,T257_31,T278_50,TH976_17,THRO4156,TRJO4551_58,TRO_11,WEAU_D15_410,WITO4160_33,X1193_C1,X1254_C3,X1632_S2_B10,X2088_C9,X2131_C1_B5,X2278_C2_B6,YU2,ZM106_9,ZM109_4,ZM135_10A,ZM197_7,ZM214_15,ZM233_6,ZM246F,ZM247_V1,ZM249_1,ZM53_12
10-1074 + 10E8,1.8300653008962948,0.9896044126596668,0.5679494147267903,1.3238618764150925,1.4175758315805624,2.3472692814659464,1.7530902265508277,1.9215350912089133,1.6359595753979352,1.5537033986515025,0.5908704874493038,1.939236020298662,1.436618914767105,0.4710500016455108,0.6460872526067911,0.8721911690931079,-0.7716119456299542,1.581568723792314,1.8758505703524047,0.6558427490391407,0.05366901464511198,1.0473090860882723,-0.054520434790850114,1.8272058689386572,0.3243696742541946,1.608509861637002,0.37190256023408574,1.714750841126508,0.6898560494418664,1.986365684516589,1.3092691202989304,1.8846569945067944,0.004467219131573774,0.03656746712075831,0.3925579473904328,1.381356201542339,1.6424611069353472,-0.8997943921652167,0.8190848175920702,1.7547085537915779,-0.36460696955895644,-0.1341937156075439,2.243853198999215,2.491398307671724,0.010076452939447478,1.7479630113560711,1.8952091240463074,2.664716441799075,-0.6796262321262765,-0.14345014211437634,2.3707544807997643,1.3018159268282647,1.8031553008847356,1.5819197242591945,0.03005829700602991,1.4610993026397248,0.6311524949412837,1.4405662645685848,1.7300551256447378,0.4022552142397995,0.5331771847319149,1.2004670371042971,0.1458261988755969,2.328602186875746,0.31871933609729863,2.175403571626773,0.03254971710231169,0.07056795194289744,0.4385904239910454,0.3966594746671288,1.248171129428996,1.8479548358067164,1.8376068318758754,-0.07539253671785184,0.02515317510047499,0.8144475723021811,0.798610053881033,1.8799816531170381,0.5323348388732612,1.7296743427934689,2.6684629129524415,1.2750088385565208,0.6117236762105156,-0.0023512398659963907,0.590807503427349,1.936747519824007,1.0097864629693496,1.0416266328915214,1.2285190674310011,2.275089029289445,1.9253309575289914,1.2831710442541944,-0.12767655197278294,0.8795370755643979,0.47898757254843316,2.352933048368465,2.397203958208144,0.8974420072231193,2.186964323992407,-0.26778620571325873,-0.09047395151163018,0.08776709409271755,-0.13774532100352754,1.1603191998265316,0.3898965886757235,0.2931951697256441,0.6600627750306156,0.7089060635366269,1.4973806265550729,1.6635176108343912,1.367949180774612,3.294128906625361,0.9674367492355858,1.2905542837841786,0.3544220581138151,0.7368248160541415,0.8305887810964521,1.0010641299082215,0.6282038729408281,2.2072192006010507,1.1755051765966509,1.454575113626018,1.1284181264374546,0.9585296485641996,0.36673417647437345,2.3735979601929236,2.072366696615944,1.6409961847321184,0.5332169527918587,1.4639970698479554,0.4235367231959457,1.6025019384778045,0.917897070042275,0.20365553385726498,1.1892446985430727,1.4247866939789358,1.3866533240407315,0.15769446198228598,-0.26295928628483556
10-1074 + 10E8 + 3BNC117,2.0863446201178046,2.117788129877022,1.0099294889345662,1.8616523242257825,2.1594151023306623,2.4902087684833125,2.1165275621001642,2.030330497775414,1.6195416901052164,1.6249117094721948,0.941611938718566,1.782578325566524,1.815820269314632,1.0122077593752774,0.695128932251627,1.209944822034541,1.2761482895726086,1.6205609210776353,2.1394021754041725,1.3576340061801715,1.2026356344332245,1.5875056853721508,1.2568842288779165,2.054146733821958,0.7997664394112967,2.1035859304229954,0.7282299706014541,1.9987106407518063,1.6184809268037301,2.3470275400340688,1.8572576302590575,2.126038958426543,1.9469762187266513,0.1190136793793739,1.4282854738226511,1.5720371139875162,2.0219345482510613,-0.468027976233939,1.178384638077445,1.800226598264926,-0.2343599142470656,-0.10881077251467941,2.407275721449058,2.518790139802216,0.9207092630110272,1.7719986302915331,2.0670372277614177,2.93454099459868,-0.3101588695468158,-0.06473561827850016,2.5108902406837954,1.579726212004295,1.9363266731342703,1.685032002576143,1.7075644116053734,1.5307522616123803,1.0613534397588147,1.6488258125429684,1.9369623824531819,1.2592016115882885,1.895226994952532,1.603523879677649,1.5583938555211372,2.6346399609750435,1.4812775672729437,2.3525025532158423,0.15362777559223018,0.5532903113865415,1.1132721491503856,1.5924075750561522,1.762691001196019,1.9875856953517208,2.0829420882732306,1.244144058371503,0.9458443088958974,0.6771229287659111,0.10397473996247308,1.8793649862921304,0.733347913316539,2.1003778280638326,2.70120803710767,1.2741519219211344,1.0128207538739615,0.7277820179973058,1.4250506197446535,1.9901698952027953,1.4512710847988717,1.2928048408715878,1.6090007162970483,2.1244864390717995,2.058520476341646,1.348938204863511,0.8476938501686946,1.404423542977184,1.3274216542452222,2.6757909950733714,2.6086929550695004,1.5214560766340899,2.640468859930026,1.6750142076087338,1.29616328755565,1.724156717326459,1.9430546369411963,1.400692862768841,1.067667652905023,1.5860190436011607,1.05785888223655,1.600489701179875,2.0880427551485843,1.8636993036944496,1.6899308288903065,3.1401472313348036,1.2560414614155286,1.6952032494976312,0.9799071007598976,0.6947956515884361,1.7941938822225385,1.0048700462456512,1.109822912543343,2.423752174084828,1.571810042392257,1.7438741419505162,1.519302448510457,1.3692146572109487,0.9305944248236901,2.152137396660031,2.0995588510953356,2.068989041918896,1.569990967658931,1.440872693329537,1.2163474545739517,1.6558781918598142,1.1652149540730843,0.7086289519480502,1.2905663176385982,1.529447694930783,1.5642363070951686,1.1574172803332914,0.680891288837087
10-1074 + 10E8 + 3BNC117 + PG9,2.259365062036159,2.9881110646139533,1.0822702438193526,2.2965205886951807,2.094395949718834,2.525469525400533,2.038288003057443,1.7987613072996664,1.56848760502689,2.1463835463744187,2.1722184810013845,1.8150061834137614,2.0943110734187034,1.0216925280911524,1.8044235262772736,1.4144599591166198,1.3197836140591672,1.8033519668879125,2.2660184955478195,1.1651380077745674,1.8850141028892269,1.2981626945458125,1.7890689765143182,2.2342822701069105,1.9790858472714516,2.059019284545845,1.2522714018321914,1.7669477080142584,1.416266797909432,2.206490884257894,2.6945973044589007,2.0116660940836617,2.227731192846714,0.8571085070788875,1.3960205777606425,1.5411269018931666,1.954115280135586,-0.5406289971172111,1.6115467225304867,1.9277857989541007,1.6342093529934711,1.4765102764902216,2.43566739303939,2.2019229867473733,1.8354467818126485,1.8110389629284898,2.5670295777520584,2.6960773613696416,-0.04696230429763815,0.6406177290483188,2.53527814778655,2.049486932019179,1.9936383012617251,1.95810487814305,2.164815358590186,1.914994231005458,1.0662342386854644,1.7340734007102139,1.9569506971790696,1.4914062589936035,1.9620068143974243,2.9533973141075043,1.9328662020046004,2.5153305672878243,1.864688140656078,2.033112908589186,1.0020010709734466,2.5869805678350817,2.0428861173884982,1.6549518999444746,1.817090585663511,2.013953557678195,2.4940855710691805,1.1715240928575685,1.5642410296277722,1.4191591896707272,1.43089794305138,1.855638068598715,1.236565832624824,2.395987314626269,2.9006148165158816,1.7750635950758946,1.0195724526595815,2.0728355158173146,1.8858379274170516,2.025158413575819,1.66584603754296,2.0213376074033365,1.6695902485437757,2.290042861226918,1.9662283710968045,1.6205054353359398,0.8251357725216302,1.474218461796815,1.6415031887071705,2.651011957965145,2.5455568796718646,1.5110704671203297,3.022755572820942,1.9935061890334396,1.2840761385716175,2.3920984059782713,2.283047867726447,1.419523492086404,1.2077010790053473,1.8293596411331898,1.6143727058900486,2.3655969619398984,2.0084595738124724,1.8115596638348666,1.7531462747009656,3.9126598323828077,1.1900342513145654,2.0235606403151776,1.6417926544864163,0.8448146509524279,1.8032215819940949,0.7963171771548159,1.2695163676187722,2.271007357964999,1.5220148853534003,2.407486827078438,1.649003141761201,1.7276874367230235,1.5019020262890694,2.1049673749841817,2.191691398120313,2.3374860055427744,1.7904727357749914,1.8531489451150196,1.4829971340823596,1.5144440513642734,1.262959503437365,0.7547670277224956,2.231523889385226,1.419646325623785,1.7630574543916038,1.736787804603975,1.6001223347445124
10-1074 + 10E8 + PG9,2.2897320691688092,2.6793392793336386,0.8053288691622194,2.194432862859193,1.5411709593924754,2.475993832086285,1.84983324016505,1.8189843791246902,1.5537247695701906,2.206092364821931,2.191419736800527,1.82755054872863,1.9592351341029701,0.45096267202962403,1.9024153152652787,1.4228230959317725,0.3873420209927274,1.7499537424991645,1.9541861852953382,0.6120761672805846,1.6548691350969285,0.6108153229550841,1.5656598191369997,2.1255882946782227,1.999345770445832,1.6330901274935292,1.181862216925821,1.7832241920088747,0.9503032680696677,2.1473922154195106,2.604791577637914,2.0098542903248315,1.3028837266245716,0.5950991866981994,0.4844236781433757,1.4757288797319608,1.7194005258657237,-0.9550194710123265,1.4665316587918085,1.896952546964061,1.6737108136349264,1.529646734569193,2.2619930792432994,2.3565239033402774,1.6613445360915242,1.775602816452733,2.5310518885781024,2.640752734768178,-0.9394440144435425,0.6930353803396572,2.5520157509537826,1.9266357978208868,1.8899014423542417,1.9150005471488805,1.7217895607451044,1.829317536433491,0.9699009291610667,1.710924997169656,1.8484929534126788,1.2524083842462805,1.1068685163108238,2.932932109659581,1.653736518557979,2.5222790472421712,1.6810293230743674,2.1201081388817826,0.9855083029143232,2.4146741401678327,1.9809000093457172,1.1656049249515812,1.2557535984992847,2.1972114598318075,2.4975466073138826,0.052083183759523255,1.468712987403077,1.3512100847287143,1.7653947619045685,1.9125557344915376,1.278922469874722,2.287333017504003,2.943623399117458,1.661420904292998,0.7544969973554414,2.038957045155718,1.6029890400032119,1.9213677212690596,1.4912940966261643,1.9773860961125203,1.4985503715525432,2.3321285998171746,2.030573020884436,1.6227511400025607,0.4848340081671818,1.186438064721166,1.3099941931175607,2.4858786170519434,2.6383875745692302,1.0522277431540497,2.951573293344172,1.5220892231110814,0.5424418667729993,2.103490786748366,1.8440027246484751,1.3124660865932714,0.7703160847319683,1.2314115387369355,1.7158057651709728,2.27932206920729,1.573036671973738,1.7986004275581178,1.609207757610125,3.700061113867376,0.9686759128526532,1.8169430032416747,1.5896280158807659,0.9073632276356407,1.5226626529558618,0.814646411059261,1.0443633703680981,2.1636599872643876,1.3363491239069898,2.3653294057432115,1.326885678466386,1.6088561702827362,1.3772646590567255,2.271458705526836,2.356003253941031,2.365422794896954,1.2552953868666497,1.7077589886791271,1.32255078760465,1.3912421856681134,1.0167036255404835,0.2699645234270518,2.160983858301133,1.4883304865652889,1.7543000344108854,1.3405175455895977,1.4028452938856852
10-1074 + 3BNC117,0.37897841127262355,2.0551016327377436,1.0635525373585386,1.8495560142242513,2.2182788719323776,2.3779790563119434,2.371985479873043,1.2865084840206182,1.3186548521378754,1.6932457096535218,-0.4801129991706987,0.06629600991961393,1.9327767352297989,0.8234864510113002,-1.4377012553299386,1.1292960875714644,1.0581499999550794,1.1346483079267249,2.250450965681699,0.477805214566557,1.0237149750821009,1.3243246063546823,1.149071988111921,1.4773316039332278,0.6050561267845631,1.826938576068979,0.07055774359685829,2.480634180127093,1.8119675929574615,2.653377583221003,0.9561265449727805,1.8316763856829024,2.0195726666440548,-1.6608794060543541,1.2749720018574289,1.5790468407486427,1.7272041982695128,-0.9719046613207778,0.8452549682706532,1.615668984626636,-1.6179770339788708,-1.6184540289545741,2.399502256305352,2.646491283481504,0.6847904431182918,1.8960940375832545,1.9498217136206146,1.5348975822037128,-1.6872254383210443,-1.6549037696989002,2.6520940403440028,0.9121636037990806,2.1727295104482867,1.5907955464243542,1.5767790442133025,1.5109773632653112,0.35173080111306687,-0.22468587733925593,1.5721421517382672,0.8067780346500935,1.7862557942482402,0.7462520978151894,1.33392535150419,1.5573445295325383,1.2503439267532368,2.643986132619637,-0.9029733652721497,-0.10598788158914485,0.6889304957797733,1.5221356166904378,1.6781703268966361,1.9115711232661008,2.4332512861360653,1.123194356728587,0.7526298851208484,0.4595311375824376,-0.07785473065601023,2.15711170779242,0.16851376596713719,1.954113107403093,2.4998625245932997,1.3150087405774045,0.8101878828288189,0.42715899725702,1.2637174273364358,2.1341817020087204,0.9259353814723563,1.260333798181097,0.9484570932153655,2.2579013326997552,1.435919528141559,1.148089030241778,1.2029284338809507,0.2683999588268251,1.1722420201824058,2.48686431787831,2.0535844995515076,1.5202762940083625,2.397577349536392,1.700161447797751,1.2661754874362185,1.7906985017648087,2.002285731601786,1.1827356214302087,0.7285465262938366,1.6034127510031744,1.3212872226863288,1.317545715682356,2.148607707322695,1.9379732094313322,1.568276909012147,2.9858741770977693,1.0399491022900427,1.6079323380521378,0.6764001680492178,0.22952004305763873,1.6525612143206039,-0.31220643454859087,1.0336307193551661,2.153020323903384,1.6379798065247253,1.4928316395159413,1.6182087358199175,1.5197258117934247,0.29684254066390325,2.1845101628745027,1.8552921689826944,2.176842486689469,1.7944541573638277,1.3140445822294042,0.9790767410415979,1.2647805478943286,0.17158636951683404,0.7599996478267079,0.9646738975268816,1.6609934869861513,1.4648312694078665,1.0273840150422493,0.6475940531398399
10-1074 + 3BNC117 + PG9,1.730161996360236,2.724974844617731,1.077199610028564,2.3004625114061064,2.070447543334157,2.395141428233277,2.1438404276653245,1.1928301902349552,1.240588933521125,2.1591300265073485,1.961342106734984,0.334661054351149,2.1129210601838,0.7066155362287572,1.529888981540251,1.4235749711413654,1.222067387838301,1.4723757113509377,2.01673965904334,0.7907690278149269,1.8031115907852828,0.8255096981776116,1.6877454476949545,1.806710635572518,1.8315350265353727,1.7421922519219515,0.902034169826083,2.1165378750070944,1.256190814645214,2.4767321260744755,2.6099180394702692,1.8512557348409246,2.0970284648681563,-0.04999257740650265,0.948230964182998,1.5039072562030906,1.677068304697988,-1.0895205463341877,1.409080941753675,1.7743607943183903,1.513786661766464,1.341324169801556,2.3987914073377166,2.294428611818079,1.7704875245025398,1.8144508319201456,2.5080462642490327,1.9078692281085496,-0.9180767262996643,-0.06183299482964366,2.6554496307848234,1.4959578506475375,1.9715042058897754,1.7913962190887163,2.005828633994583,1.7647432666579386,0.5624561204472016,0.8299710405209031,1.4386258236752156,1.1558643368145805,1.801431357689161,2.6407218915719675,1.8700359356737497,1.8598099084136508,1.7378194080103784,2.38175743115725,0.6978676872707381,2.471237090061728,1.8707352861611972,1.5462540820139687,1.4370401694935242,1.9286128869480939,2.5239955877987317,0.9801748057495301,1.501025829252157,1.3665439323822568,1.1299144342168606,2.019621288190727,1.0827323643377316,2.1801201705615014,2.71117842654329,1.7548647380945321,0.7665363638703186,1.984057352619065,1.741713203971619,2.109010684143316,1.3007316531289645,1.8159490988633529,1.0282975675321415,2.1817737903597543,1.3713124100794105,1.2253104005286342,0.7563873324666721,1.0390659545003236,1.4705494983766205,2.188084922912358,2.0992721141836244,1.4294740019826415,2.9764921568432765,1.8747324059851542,1.233122319255107,2.30867230045411,2.2282702301029893,1.051215260291154,0.7908411926537515,1.64726723892612,1.613025880879945,2.2147591720208553,2.056280432481798,1.8267825099554966,1.6130895782538586,3.4540122245420664,0.9061289730626254,1.9241077368063904,1.6495251650112532,0.9153697176756532,1.9633994166454296,0.1132885571673019,1.2464326343835372,2.014996367369158,1.5701932804696934,2.243962673334586,1.5759712538120776,1.6997368738408456,1.271904836056609,2.02017806673428,1.949614871841233,2.5008421060243435,1.720285510587646,1.6801610221396102,1.3041879344492173,1.2918628209790919,0.6172593472786407,0.46561178434950756,2.146853250239717,1.4327797685760877,1.7590084699522315,1.4594066997517703,1.476185380762344
10-1074 + PG9,1.755935229476433,2.6857235414782306,1.0090488376657558,2.489100737421924,1.700474102459562,2.509911781920527,2.2585036704334085,0.9927079305473976,1.3319029777176978,2.289015149521199,2.0788212731456275,0.49056162599970543,2.1396738898565113,-1.186821413945799,1.76171767668307,1.5997564391871761,0.5621851487895362,1.2360929668305962,1.9253766109731334,0.32871896480431273,1.7258803023265306,-0.46922664609621756,1.6800376761972142,2.102538355652091,2.1475026157122183,1.139440562204856,0.8161803017332154,2.3548901589270397,0.08169429175966814,2.6279997240590944,2.650406070439459,1.815713227111456,0.9985652292892424,0.20589530532151956,-1.4831330947873007,1.5476324538576756,1.112426068299757,-1.4123936792439657,1.5937644175700671,1.8513863865239757,1.5592414877194747,1.4141303677961252,2.4736516734299014,2.290495360898672,1.7304742160702813,1.9332438475366427,2.5106812093809996,1.7193078584725687,-1.8027523433160275,-0.08223875278266335,2.947402292567314,1.5694749796929504,1.7730589388620763,1.9869991222567078,1.8168382790652893,1.8970819950845503,0.04399751794182105,0.8997942322971042,0.24397998262727594,0.6831209544235057,0.5217775239224127,2.7048760368727054,1.6406738010091328,1.4884714961156469,1.6705169409059337,2.6607678330172178,0.8973485167869844,2.6652850865513544,2.010059085166371,0.8453454814134718,-1.5042828304043274,1.8544746234535752,2.527741179793818,-1.5924013704341262,1.3546680087653464,1.359254571636599,1.9396373398986237,2.3588055413209768,1.1496573453144592,1.976000565597158,2.977993671117593,1.817083655572341,0.4433120542480995,2.132556883911845,1.5917731053750863,2.2740783137982286,0.7224389893524172,1.8378417681046058,0.449125094168362,2.275610408616518,1.3947118406583168,1.4597346083022789,-0.49684800745559454,0.8475358730394298,1.1758458860981391,2.0885059410421443,2.216969723845601,1.0426009497966846,2.7213666610883243,1.4317795841177432,-0.016833833750947935,2.0847326490313005,1.8570201782924718,0.7321999022619461,0.12433419996966633,0.8318871654238413,1.1771775546889156,2.3652059633349314,1.7536194750055172,2.047352044678343,1.4849016607861438,3.690405128390843,0.5453406369882732,1.8692286840664738,1.7045723059599238,0.9650360516225218,1.5443241022249325,-0.8396039375398092,0.973235521128021,2.118290045094204,1.4904463342043721,2.3012922868274996,1.4052260979692726,1.616826151527853,1.1580350062189884,2.649502475499716,1.9597153998049293,2.648885391829017,0.9484356124455049,1.7469765181175108,0.7698132024144444,0.9664619666726999,0.2598243415126018,-0.044215845860390735,2.3929304971572947,1.8090950676905315,1.8077737535324632,1.3050476779542541,1.6056126061839753
10E8 + 2F5,1.1902669575831313,-0.4439039259355233,-0.5304539076343615,-0.05567772303444962,0.22420106627560665,0.05182068234275272,-0.07016667401681498,0.13133010672395384,-0.12828457074926614,-0.45682555414745907,-0.005353013367964898,-0.03556195992763089,-0.050060137202235566,-0.25825263161257106,0.17332818019522422,-0.4000324046425554,-0.41871420620380806,0.33658163133035,0.21327346185269613,0.1048571885860623,-0.3461594786150719,0.4935160506890872,-0.37760720760626465,0.3287747240275718,-0.4483813502562608,0.18978018375832706,-0.23163401857217214,-0.6826420846814412,-0.47971080070789807,-0.037908566252315534,-0.5125313969057166,0.005080395106374702,-0.4790683286801729,0.39498169489339263,-0.021959643166436837,-0.46492494966585984,0.08776702749139531,-0.9863702919407187,-0.2502493446496168,-0.22548528994022088,0.21795192164273436,-0.09446009535324884,0.0011214544758604283,0.24938464022523954,0.2631740920533834,-0.6772278702710599,-0.023335475274975037,0.9556035687184057,0.3602011266900482,-0.009747478476592075,0.10371025380634302,0.10282208545488558,0.03471330457941768,-0.2383258961210295,0.14600632969922467,-0.2416515497937861,-0.16832878698381748,0.5196801770115527,0.2518097029443287,0.08225348579908864,0.06286868732047868,0.0070421646849974096,-0.18485446746678158,0.6503691136717817,0.08633077448651116,-0.3449360054101962,-0.07652296172396778,-0.800474966891157,0.01455203982909925,0.36424580193319,-0.009073225232377968,-0.16957048176458622,-0.3245672931768746,-0.230605292474362,-0.30667202623725154,0.06588674853722898,-0.7434514921017932,-0.36676349247658324,-0.4483824821558178,0.26141061221671036,-0.20976382344066913,-0.49106278969164574,-0.32867968371444967,-0.14990965600485184,-0.42558335627357025,-0.005857339168918285,0.9287253439409913,-0.2269051893236853,0.40386996692441635,-0.029833346579519082,0.29238886382486484,-0.47393415514921955,-1.3557903303986807,1.1595629737861497,0.05040490192540359,0.24270333181065284,0.23410176884550493,-0.6623027251272875,0.24277691984675975,-0.7804614385537108,-0.34738096011983965,-0.2969943125519716,-0.2469837051575996,-0.3228422409631939,-0.06104467179883999,-0.19496774374918546,-0.2821211541388837,-0.33934125188887365,0.08545469289872631,-0.21797965769082017,-0.09926076458181154,-0.25037184331187223,-0.1269359619506587,0.197111914149521,0.08719963804050268,-0.12634633526894956,0.4356962846376149,0.42629606433975686,-0.4751927957861608,0.12368972389671384,-0.3206861836496908,0.13018563236986536,-0.06914833646026564,-0.38016908166068486,-0.29348789165172073,-0.7415656727125357,0.018724653315423723,0.07821049066143315,-0.35367258901326015,-0.5222673154531683,-0.15279931291359206,0.5365972025707544,0.44807595555431146,-0.41496696926127674,-0.15539576665538424,-0.7488643789906457,-0.2026838885529958,0.041148287701837205,-0.9145278830337655
10E8 + 3BNC117,2.6191372056450515,2.108568248450516,0.7966509719529249,1.5309948579390844,1.9757467918342089,1.5290519479328384,1.6107674475331248,1.9912485932005146,1.2790865226508097,0.4939063795625671,0.8443933793612795,2.056513856226032,1.3077056182908313,1.175153122176766,0.8084484548531128,0.7223258621103854,1.2237632449308649,1.6221502196117283,1.7799365770631015,0.9625950767675908,1.1822666303174443,1.3327288319475863,1.291261521694166,1.7268800378720806,0.9876802713521213,1.9408397777665352,0.8881123007051457,0.40771538536393415,1.4513348869605025,1.4292497603769752,1.5925309907385707,1.3837821053967487,2.189388531358871,0.23303585721640419,1.5534005415524383,0.9510961778500691,2.0361617020784912,-0.35247777137172376,0.5676755560535356,0.8269486582544991,-0.19877797563333632,-0.22000386849418474,1.2200143199811482,1.6833965157977997,0.8893215478529326,0.6538002384135444,1.505938191849924,2.9305868432982605,0.15721149061984585,-0.2003214830394935,1.4700233323050886,1.7478280187243551,1.5082936703869994,0.9270834420039566,1.7947696918830354,0.35690833245767406,1.1320413374771037,1.652958245659284,1.9843694286371698,1.4073920769782844,2.084924375336393,1.5106937669202134,1.4080855699023482,2.874188778392109,1.5214724228030208,0.4695595563162689,0.16436041390285006,0.505902817652168,1.1050206164248015,1.6259068643492403,1.684325563306095,0.8761598182721286,1.2423607901589193,1.3463711419037043,1.0588346949965008,0.393079192459441,-0.5084787059895379,0.39719300467827967,0.6386462748325514,1.7575733806418627,0.8859069800476629,0.35712356103090004,0.8061288821990873,0.7830328162071667,1.4181624858055843,1.2491196078629336,1.5450901250016558,1.0045655696895759,1.729323146715838,1.8591199639032152,1.79638193858377,0.5619487197310553,0.721349706001615,1.5632702048557734,1.320072777941744,1.9028642251305388,1.6538925056069687,1.2628852034543794,1.926415240684889,1.7027723104624495,1.297358474991051,1.8785636226117055,2.0161415173875383,1.3368865897045126,1.0486378022147784,1.699103976296581,1.23594174338198,1.609271492861772,1.8150709561614784,1.2294900213127038,1.5763931541888487,0.30938073434061186,1.1187539191443636,1.5327629989956075,1.0253255678875095,0.026343889227290695,1.4841888475558007,1.154413952110093,0.9780472062554937,2.0246638703708264,1.2314636366901497,1.7181314687441573,1.3138677809183683,1.1958845798000262,0.9366710630065231,-1.6410430472045734,1.9545015416574842,1.6852035467331952,1.2714383231947286,0.429061761678482,1.2819298455694152,1.3353387607590341,1.3328069112626655,0.6493832681672336,0.915047361866355,0.010055040240526836,0.4836743651977202,1.2976284939741847,0.8058471507149032
10E8 + 3BNC117 + PG9,2.4707113307153152,2.9795778172662652,0.8683437766194984,2.064956641004951,1.7980491953897184,1.806461480510928,1.7048904871274644,1.779971046268778,1.2715901335555637,1.7797415057242087,2.1295750838804945,1.7555464218606764,1.8589595330115674,1.052246714999781,1.7544393624207033,1.123602215428214,1.3123338071213855,1.8400353168994013,1.8608017775694519,1.0572204029078804,1.8986953656337042,1.2882021251469058,1.6919307355152444,2.0581644226675504,2.0220909074464,1.9177971553923507,1.3534119759182368,0.42625654587398554,1.2466265971419581,1.5338126632906817,2.74391225367543,1.4313927083318942,2.2267791658595595,0.7512984027489584,1.4717314131255934,1.0327799534312478,1.9347208473044595,-0.545438190565517,1.0190829523619809,1.2759851940598863,1.6122112995404012,1.5428402597380133,1.299199872063837,1.6620172215095281,1.7506968240678304,0.6089353888263025,2.3802439215634505,2.682088726344773,0.22112619420051605,0.6459088213380237,1.8771050714438333,1.91582903046812,1.486555371249601,1.542512646180604,1.995930342421922,1.519412346875395,1.1231235312564878,1.7992090406383912,1.8835853187186222,1.5157349899688248,2.012728671617249,2.947500341277032,1.9112844855951048,2.6699059536567225,1.8517109674211274,0.47678103648452863,1.0261076561144113,2.4567579373420454,2.019202051197418,1.6616862633156573,1.5618435772821613,1.6134419771085402,2.130527099940772,1.2116954442104033,1.5299162581213506,1.3297820003270884,1.1741603283099171,0.9354876845410676,1.3039518599003705,2.08716469541317,1.8253840568872364,1.4363231529307519,0.7859342787662436,1.9861140998597722,1.7740584518432367,1.5543462745095797,1.6705927258992816,1.8508491694189084,1.7282908889879578,1.9085977722629548,1.7072995964627857,1.1767812492622811,0.6081347287193037,1.586693820812835,1.601885275225103,2.1687917271668082,2.02195065759265,1.35401048808369,2.929157555119348,1.9191853489915323,1.3830872929047637,2.2816385839728524,2.2047731617089372,1.1268230366541028,1.219519113323619,1.6973533543797221,1.4446115568346158,2.3591969632086407,1.7129099909992251,1.2562191256965285,1.6080596091139605,3.162837768744847,1.0970813472414043,1.8712832980504297,1.7668869655404245,0.8673839361607287,1.3153690635330526,1.0847324826130533,1.1733038839949304,1.74152220294161,1.2528053420662966,2.380005337741795,1.5053582523967464,1.5816978591706965,1.516379625881973,-1.5409392002620603,1.9218361561057384,2.212845678502755,1.351475137838516,1.4407803805608341,1.5509348783169612,1.3987898237820797,1.3044777379865713,0.5201898170713339,2.0929174309182264,0.13368878333534617,1.4055223828163963,1.5634201633250076,1.543362961846655
