,S1,S3,S5,S6,S13,S14
PROTOTYPE_WT_A/NETHERLANDS/213/03,0.004179950581299995,,,,,
A/SHANGDONG/9/93,0.014234609955376364,,,,,
A/WUHAN/359/95,0.00012065179943501136,,,,,
VN053_2010,0.017289369067922316,,,,,
A/JOHANNESBURG/33/94,0.01613661491385764,,,,,
VN015/EL134/2008,,0.0012278436890558978,,,,
HN201/2009,,0.00038685515794263013,,,,
A/NANCHANG/933/95,0.004348909137081166,,,,,
VN021/EL444/2010,,3.597528972739379e-05,,,,
A/PANAMA/2007/99,0.0005636361477736564,,,,,
VN019_EL442_2010,0.0026362799717004905,,,,,
VN016_EL135_2008,0.02772013747647344,,,,,
HN206_2009,0.011858554841569117,,,,,
VN015_EL134_2008,0.00028528861839714916,,,,,
A/FUJIAN/411/2002,3.052675324151408e-05,,,,,
HN196_2009,0.03137130186579361,,,,,
VN017_EL140_2008,0.026441413852815242,,,,,
VN020/EL443/2010,,0.0005475500854866971,,,,
HN196/2009,,0.0007613932514220405,,,,
HN201_2009,0.012348964514015416,,,,,
HN206/2009,,0.0005571371925994225,,,,
VN018_EL204_2009,0.09452746439642938,,,,,
VN018/EL204/2009,,0.0008092888966906203,,,,
VN020_EL443_2010,0.003967882713553128,,,,,
VN017/EL140/2008,,0.0011400873596585548,,,,
PROTOTYPE_WT_A/NETHERLANDS/301/99,0.03360783201289125,,,,,
PROTOTYPE_WT_A/NETHERLAND/179/93,0.029334897888083522,,,,,
VN021_EL444_2010,0.0010569347283591463,,,,,
VN019/EL442/2010,,0.001463916273362733,,,,
WU/359/95,,,0.8936618133902056,0.8967144999965756,,
NL/213/03,,,0.7642058377358822,0.8693028568687295,,
BI/21793/72,,0.8153103827956105,0.5676804072369431,0.6333797222218513,,
A/BANGKOK/1/97,0.781435288040695,,0.8857007608236414,0.9266448799660637,,
A/BRISBANE/342/2003,0.8519766303755195,,0.7657590435535316,0.8633721187596026,,
A/CALIFORNIA/7/2004,0.846676265197015,,0.6563517421228156,0.8440611266535418,,
A/AUCKLAND/20/2003,0.4923774103837334,,0.3846051718453009,0.6277879144792774,,
A/VICTORIA/507/98,0.9019426802027158,,0.7949094515821887,0.7767820218702405,,
NL/179/93,,0.8299753790636833,0.9408236187807356,0.9456462534370945,,
VN016/EL135/2008,,0.5774722161750317,,,0.747567973613027,0.7325290373730281
A/SOUTH_AUSTRALIA/53/2001,0.9223139603065487,,0.7649223372378996,0.7111679045135512,,
FU/411/02,,0.5661916436911427,0.7396123784518615,0.8691871896999153,,
A/SINGAPORE/37/2004,0.777865469834811,,0.6127750201341959,0.6818552318969157,,
A/BRISBANE/5/2002,0.5716197176914679,,0.6428596335612544,0.731309461502186,,
NA/933/95,,0.7147892567690409,0.8835656281523429,0.934074010003425,,
A/VICTORIA/9/94,0.895537825147578,,0.9488251170535559,0.9523508908686051,,
A/WELLINGTON/1/94,0.9416631104491004,,0.9541684813893271,0.9483163446738135,,
A/CANBERRA/9/97,0.8140490821273395,,0.778350394246726,0.8671936635115471,,
A/FUKUOKA/55/2002,0.8312305191100353,,0.6029031337613581,0.7158794194093717,,
A/PERTH/5/97,0.9263651859085991,,0.9357872613326167,0.9526582650944687,,
A/WELLINGTON/48/96,0.8757864503196001,,0.9282071900789941,0.9241436853482262,,
A/BRISBANE/22/96,0.981903719539887,,0.9456738301947297,0.9664468980384229,,
A/TOWNSVILLE/36/2003,0.8408103870817939,,0.5829186045788517,0.8417965745994672,,
A/TOWNSVILLE/4/2002,0.8088427246037008,,0.7179597263359072,0.7980601556274985,,
SD/9/93,,0.7669424369063899,0.9072093489898575,0.9249505338110576,,
NL/301/99,,0.6024013159424715,0.8428908273969312,0.8728388572064839,,
VN053/2010,,0.25895638156727896,,,0.669677676121928,0.7129259400892214
A/CHRISTCHURCH/68/99,0.8188276101989834,,0.8203746772833512,0.8819556950458018,,
A/SYDNEY/228/2000,0.933443067229683,,0.7625996093333631,0.8749727508193376,,
JO/33/94,,0.8557604685481641,0.8412705124476788,0.9025303967782867,,
A/VICTORIA/361/2011,0.8259566894962543,0.6289904490379485,0.2679053398271995,0.3597047416261295,,
A/VICTORIA/47/97,0.5317225826495007,0.7099214617223962,0.8894851540360157,0.8955972572683919,,
A/VICTORIA/577/99,0.3652570221174346,0.6425547576602908,0.7647425116261264,0.877340433548651,,
A/VICTORIA/500/2009,0.5070214649699307,0.6120287684114308,0.03130094704045323,0.36275919591956945,,
A/BEIJING/32/92,0.5253928702867218,0.8395078503822051,0.872000844864523,0.8887917707074027,,
A/WELLINGTON/25/93,0.8930325908536348,0.8879913635872587,0.9412684812859223,0.9502536173992693,,
A/VICTORIA/8/2010,0.6895694961311328,0.7869925558044962,0.45073160092748027,0.6332782657012347,,
A/URUGUAY/716/2007,0.8745313439212722,0.6110265193304394,0.3972786458909382,0.5983776454200417,,
A/VICTORIA/208/2009,0.04610128759095013,0.556987177876966,0.38136551838964095,0.4596535889147919,,
A/CANBERRA/1/96,0.36095674852950566,0.8192846715760407,0.8037425389015351,0.8770510612334864,,
A/WISCONSIN/67/2005,0.6833115136951219,0.6063729898278478,0.39680341231301286,0.6632801701817038,,
A/PHILIPPINES/427/2002_MDCK,0.6829582567843355,0.5898870062199584,0.8095362954793504,0.7713443645844451,,
A/VICTORIA/523/2004,0.8858285747118063,0.8175398405991501,0.7026988207606608,0.6723544153651783,,
A/SYDNEY/5/97,0.7900122756686897,0.6969812252314,0.7832917080779048,0.8537178543684119,,
A/BRISBANE/10/2007,0.5939830322812224,0.5824365338686067,0.3655625872841555,0.5995254127402004,,
A/SOUTH_AUSTRALIA/84/2002,0.6694365160660462,0.3895639150298872,0.7983479485803806,0.7703939646651078,,
