,S1,S3,S5,S6,S13,S14
PROTOTYPE_WT_A/NETHERLANDS/213/03,2.5562479944798593,,,,,
A/SHANGDONG/9/93,2.024429297389384,,,,,
A/WUHAN/359/95,2.164834010753615,,,,,
VN053_2010,2.302330247727121,,,,,
A/JOHANNESBURG/33/94,2.076032942989466,,,,,
VN015/EL134/2008,,2.3645890649335595,,,,
HN201/2009,,1.9430824436959075,,,,
A/NANCHANG/933/95,2.3334170952341116,,,,,
VN021/EL444/2010,,2.2701872715467313,,,,
A/PANAMA/2007/99,1.6594427679745576,,,,,
VN019_EL442_2010,2.4118575212811866,,,,,
VN016_EL135_2008,2.9310135144995018,,,,,
HN206_2009,2.133020026805774,,,,,
VN015_EL134_2008,2.938279170658857,,,,,
A/FUJIAN/411/2002,2.3994591208828435,,,,,
HN196_2009,2.7541892039835973,,,,,
VN017_EL140_2008,2.7795117709452346,,,,,
VN020/EL443/2010,,1.904926040955051,,,,
HN196/2009,,1.8945651398795027,,,,
HN201_2009,2.1262310684236216,,,,,
HN206/2009,,1.802918703288399,,,,
VN018_EL204_2009,2.391562972447015,,,,,
VN018/EL204/2009,,1.9898319890661478,,,,
VN020_EL443_2010,2.2012022872522023,,,,,
VN017/EL140/2008,,1.8574622248599029,,,,
PROTOTYPE_WT_A/NETHERLANDS/301/99,2.0559365611608778,,,,,
PROTOTYPE_WT_A/NETHERLAND/179/93,2.306623731889595,,,,,
VN021_EL444_2010,2.4892425842040424,,,,,
VN019/EL442/2010,,2.1417894845060492,,,,
WU/359/95,,,2.514209033300819,2.6068269850595454,,
NL/213/03,,,1.9729098628541815,2.2285262535645325,,
BI/21793/72,,2.1502152045866842,2.4518607389620413,2.5360782462733416,,
A/BANGKOK/1/97,2.764274912509876,,2.7784994685680857,2.9752284026610942,,
A/BRISBANE/342/2003,2.8893620282217762,,1.9061628192677162,1.9911505375723224,,
A/CALIFORNIA/7/2004,3.039534146195665,,1.6037572048502748,1.7206452964482748,,
